ECON INL FW PRESS;DRUM PRESS;MN STM PRESS;CRH STM PRESS;HRH STM PRESS;COND VAC WIDE;ECON INL FW TEMP;MN STM TEMP;CRH STM TEMP;HRH STM TEMP;COND INL CW TEMP;COND  OUTL CW TEMP;AHTR PA OUT TEMP ;AHTR OUTL SECA TEMP ;AHTR OUT FG TEMP ;AHTR B OUT FG TEMP 4;PULV  INL PA TEMP;PULV  OUTL COAL/AIR TEMP;MAIN SPRY WTR FLOW;MN STM FLOW;RHR ATM SPRY WTR FLOW;TOT AIR FLOW FD FAN;TOTAL PA Flow;TOT COAL FLOW;GEN OUT MW;FGD SYS INLET NOX;FGD SYS INLET SOX;FGD SYS OUTLET SOX;A/H Outlet O2;Eff Thermal
190.721;185.969;167.898;38.216;36.150;-0.916;288.216;538.929;334.531;533.711;30.000;38.000;345.085;351.094;158.500;154.250;279.105;70.762;165.958;2149.148;4.978;2172.829;509.324;305.528;710.305;641.680;1820.497;614.559;2.784;35.686
190.667;185.969;167.853;38.099;36.150;-0.916;288.135;539.291;334.531;533.920;30.000;38.000;345.000;351.094;158.500;154.250;279.271;70.612;165.736;2149.490;5.112;2171.588;512.307;305.964;710.804;640.242;1813.116;611.273;2.765;35.648
190.667;185.969;167.916;38.096;36.150;-0.916;288.090;540.161;335.180;534.188;30.000;38.000;345.000;351.041;158.500;154.250;279.782;70.575;168.508;2151.150;5.428;2172.793;510.904;306.057;711.512;642.335;1798.484;606.203;2.737;35.674
190.667;185.969;168.053;38.096;36.173;-0.916;288.090;540.688;335.707;534.356;30.000;38.000;345.000;350.984;158.500;154.250;279.653;70.575;172.059;2150.412;5.261;2171.580;510.666;305.781;712.416;644.191;1797.846;603.581;2.707;35.735
190.667;185.972;167.981;38.096;36.227;-0.916;288.090;540.372;335.671;534.814;30.000;38.000;345.000;350.984;158.500;154.250;279.292;70.575;172.587;2149.980;5.040;2169.430;507.873;305.568;712.001;644.191;1803.506;608.880;2.841;35.721
190.557;185.857;167.665;38.096;36.227;-0.916;288.090;539.392;335.156;534.814;30.000;38.000;345.000;350.984;158.500;154.250;278.861;70.575;169.670;2149.081;5.005;2174.180;509.328;305.833;711.420;644.191;1797.698;608.549;2.793;35.650
190.528;185.791;167.713;38.151;36.227;-0.916;288.296;539.000;334.544;534.839;30.000;38.000;345.000;350.984;158.500;154.423;278.893;70.392;167.679;2147.613;5.173;2175.346;511.511;305.486;709.900;645.998;1788.614;604.782;2.784;35.715
190.774;185.972;167.888;38.152;36.227;-0.916;288.348;538.641;334.375;535.157;30.000;38.000;345.000;350.913;158.500;154.300;279.348;70.387;168.078;2149.115;5.035;2173.756;511.684;305.732;707.876;649.537;1784.775;600.882;2.730;35.722
190.990;186.224;168.206;38.152;36.241;-0.916;288.348;538.438;334.375;535.364;30.000;38.000;345.000;350.875;158.500;154.250;279.769;70.514;171.254;2151.673;5.011;2175.109;510.369;305.838;706.846;650.887;1782.734;599.507;2.744;35.755
191.016;186.270;168.202;38.152;36.258;-0.916;288.348;538.204;334.185;535.259;30.000;38.000;345.000;350.677;158.500;154.250;279.380;70.650;173.301;2152.330;4.807;2170.367;509.219;305.516;707.256;645.972;1784.160;598.246;2.738;35.772
190.840;186.064;167.893;38.159;36.258;-0.916;288.348;537.340;333.750;535.078;30.000;38.000;345.000;350.438;158.500;154.250;278.482;70.650;170.267;2150.266;5.139;2167.698;510.850;305.711;707.554;643.214;1786.079;599.754;2.722;35.720
190.408;185.648;167.672;38.201;36.227;-0.916;288.272;536.938;333.355;534.796;30.000;38.000;345.000;350.416;158.500;154.250;278.569;70.650;166.267;2146.334;4.997;2167.107;510.296;305.837;707.063;645.474;1791.669;601.100;2.778;35.629
190.037;185.241;167.168;38.127;36.120;-0.915;288.252;537.091;333.048;534.638;30.000;38.000;345.203;350.186;158.383;154.478;278.922;70.650;165.188;2141.314;5.054;2168.198;509.467;305.624;707.168;649.598;1789.106;598.686;2.731;35.552
189.904;185.088;167.168;38.018;36.044;-0.915;288.252;538.464;333.881;534.743;30.000;38.000;345.250;350.109;158.173;154.750;279.009;70.626;166.706;2137.018;5.210;2171.124;508.156;306.345;708.351;651.445;1789.562;596.220;2.684;35.417
189.904;185.088;167.168;37.981;36.044;-0.915;288.252;539.375;334.615;535.026;30.000;38.000;345.367;350.097;158.042;154.867;278.859;70.613;169.745;2137.018;5.123;2171.457;510.936;306.158;709.697;650.197;1800.246;601.042;2.690;35.459
189.904;185.088;167.168;37.981;36.044;-0.915;288.252;540.144;334.844;535.294;30.000;38.000;345.500;349.577;157.802;155.000;278.996;70.613;172.435;2137.018;5.174;2173.670;512.009;306.371;710.838;649.910;1809.483;606.330;2.702;35.449
189.904;185.088;167.239;37.981;36.044;-0.916;287.921;539.701;334.844;535.294;30.000;38.000;345.500;349.563;157.750;155.000;279.021;70.613;169.961;2136.612;5.106;2173.373;509.749;306.196;711.996;645.967;1803.981;604.753;2.732;35.445
189.866;185.208;167.306;37.981;36.004;-0.916;287.838;539.148;334.597;535.504;30.000;38.000;345.500;349.563;157.716;155.197;279.117;70.613;168.377;2133.953;5.434;2171.974;509.945;306.408;712.736;645.957;1799.474;602.214;2.688;35.426
190.252;185.548;167.595;37.983;35.960;-0.916;287.838;539.278;334.531;535.885;30.000;38.000;345.500;349.563;157.585;155.250;279.333;70.553;170.877;2136.919;5.602;2174.278;511.102;306.569;713.734;648.922;1803.003;604.319;2.664;35.466
190.546;185.810;167.948;37.984;35.960;-0.916;287.838;539.938;334.531;536.099;30.000;38.000;345.500;349.547;157.385;155.250;279.222;70.537;174.707;2139.957;5.323;2174.011;510.616;306.599;714.351;649.910;1811.203;605.817;2.717;35.530
190.859;186.154;168.210;38.068;36.065;-0.916;287.838;539.246;334.349;536.099;30.000;38.000;345.500;349.453;157.294;155.250;279.099;70.680;176.558;2143.795;5.050;2173.739;510.486;306.575;713.696;647.204;1820.031;611.984;2.814;35.590
191.080;186.417;168.487;38.089;36.119;-0.916;288.088;538.138;333.719;536.041;30.000;38.000;345.500;349.453;157.335;155.250;279.148;70.688;174.428;2146.889;4.957;2175.845;509.473;306.604;712.495;644.148;1799.594;611.335;2.872;35.645
191.372;186.561;168.560;38.170;36.177;-0.916;288.095;537.146;332.893;535.906;30.000;38.000;345.500;349.453;157.250;155.250;279.109;70.642;171.582;2149.946;4.858;2175.569;511.829;306.244;711.581;645.036;1787.815;603.670;2.793;35.724
